,sector,annual return log,Std
RTX,Industrials,-0.28837534501344214,0.6179473303988012
O,Real Estate,-0.20217166101419315,0.6520092444394897
REG,Real Estate,-0.29683799922677934,0.7369766915361566
REGN,Health Care,0.39052378116270936,0.45220550489245026
RF,Financials,0.0062565312183897135,0.7628910436036375
RSG,Industrials,0.06160645175592353,0.37663595657875704
RMD,Health Care,0.29081953586335707,0.5262613747108065
RHI,Industrials,0.08726309684414627,0.5473951992648871
ROK,Industrials,0.30216320773570177,0.5282039337349069
ROL,Industrials,0.5292231568401031,0.393810494724402
ROP,Industrials,0.1228132626922879,0.43864509146330416
ROST,Consumer Discretionary,-0.06662166476775232,0.6178822487381394
RCL,Consumer Discretionary,-0.5508607678262712,1.2351161734370508
SPGI,Financials,0.16384445047782187,0.49714674242679113
CRM,Information Technology,0.33465263075617435,0.547626452285674
SBAC,Real Estate,0.12984910472862315,0.4524660524421187
SLB,Energy,-0.5669092969930053,0.8414066588451907
STX,Information Technology,-0.003405584505887113,0.46183017232030354
SEE,Materials,0.2010998337572363,0.5733318151700411
SRE,Utilities,-0.17695234408032234,0.5092404974269169
NOW,Information Technology,0.5905530203849099,0.5296733831021952
SHW,Materials,0.25462522724105435,0.463152673411645
SPG,Real Estate,-0.563425600636677,0.9929224192181498
SWKS,Information Technology,0.12650548942922452,0.5927021294184253
SLG,Real Estate,-0.43116598732253775,0.8461600469528473
SNA,Industrials,0.07591697368606518,0.5225730234170929
SO,Utilities,-0.08126848388793673,0.48928985650920154
LUV,Industrials,-0.11640715873898537,0.6709058662270309
SWK,Industrials,0.12588232481584552,0.6703508991814544
SBUX,Consumer Discretionary,0.09320272149111636,0.4867203030526643
STT,Financials,-0.10613921620290268,0.6263100580024571
STE,Health Care,0.2528415532029405,0.4098495745591602
SYK,Health Care,0.11063019733116011,0.529281613866555
SIVB,Financials,0.38828137349261715,0.6897869284007339
SYF,Financials,-0.10912939074925182,0.8184886852264097
SNPS,Information Technology,0.40339590556315075,0.45188575490037547
SYY,Consumer Staples,-0.1435757980936271,0.7504038132742981
TMUS,Communication Services,0.5258282051862635,0.4363988863449156
TROW,Financials,0.1359923189662322,0.5143173992359619
TTWO,Communication Services,0.33647876589575104,0.45044202116939913
TPR,Consumer Discretionary,0.06979033683038062,0.8936809524526963
TGT,Consumer Discretionary,0.5546612786487632,0.39336890960043264
TEL,Information Technology,0.19217348497945136,0.5167764631516508
FTI,Energy,-0.8639786731958102,0.9748458590212731
TDY,Industrials,0.014608338756891862,0.559987471933337
TFX,Health Care,-0.02716314370679968,0.4775671864435914
TER,Information Technology,0.49004779623431255,0.5637038737883099
TXN,Information Technology,0.2507548790823393,0.46077586079052074
TXT,Industrials,0.04483283292430544,0.7249953442417285
TMO,Health Care,0.33469531897379506,0.39669541061379937
TIF,Consumer Discretionary,-0.006185294061084733,0.2714206609872621
TJX,Consumer Discretionary,0.01362995821976635,0.5604104185057484
TSCO,Consumer Discretionary,0.4317558342344766,0.4206013411183863
TT,Industrials,0.41986406664371023,0.4801410727080927
TDG,Industrials,-0.07473937054860709,0.7612616757764024
TRV,Financials,-0.01699294387117243,0.5323084185567284
TFC,Financials,-0.12319023229907278,0.716123125329814
TWTR,Communication Services,0.36043200430860345,0.6718689232624193
TYL,Information Technology,0.336857688535841,0.3691588778644958
TSN,Consumer Staples,-0.324121138305102,0.5188300694708844
UDR,Real Estate,-0.18437761055963675,0.5474836111324989
ULTA,Consumer Discretionary,0.03185765262956442,0.6930609911150414
USB,Financials,-0.18897241726622704,0.6271130940169507
UAA,Consumer Discretionary,-0.21086176230183193,0.7521274774103116
UA,Consumer Discretionary,-0.23261199332741023,0.7218339651147954
UNP,Industrials,0.16778129188418886,0.45266622945148216
UAL,Industrials,-0.7363042734085454,1.1224000969185104
UNH,Health Care,0.1352137918051489,0.5175179039917556
UPS,Industrials,0.4736162395436155,0.43453965563678365
URI,Industrials,0.46283615766186975,0.729855392527749
UHS,Health Care,-0.09668980562973023,0.7128915034304587
UNM,Financials,-0.18104086255633173,0.8638844679105433
VLO,Energy,-0.47479085459585674,0.8399463234681823
VAR,Health Care,0.18900245291534074,0.4966574592380803
VTR,Real Estate,-0.1611097613476703,0.937289755714049
VRSN,Information Technology,-0.08882204969916223,0.4250896686638301
VRSK,Industrials,0.23081123830129846,0.4111386073659772
VZ,"Communication Services
",0.039594212673245026,0.2604796473869772
VRTX,Health Care,-0.08204548529956031,0.502080033980845
VFC,Consumer Discretionary,-0.06597172409663041,0.6188862644167317
VIAC,Communication Services,-0.08201305063269142,0.7490904060484607
VTRS,Health Care,-0.27729673755023565,0.4891911366638937
V,Information Technology,0.027246752861506334,0.4563049649392473
VNT,Information Technology,1.3299133444863054,0.36330124709335576
VNO,Real Estate,-0.5284502577542103,0.757622281234689
VMC,Materials,0.031187165085174332,0.5717046112627338
WRB,Financials,-0.07792688958910046,0.5241132369752117
WAB,Industrials,-0.06819804287230558,0.5950740117801797
WMT,Consumer Staples,0.33322206260569687,0.334186934465142
WBA,Consumer Staples,-0.32433257979247404,0.5077290731803902
DIS,Communication Services,0.04409658937132837,0.5015169208822287
WM,Industrials,0.009180265625722918,0.3743574557975228
WAT,Health Care,-0.08401263797268277,0.4246914651058593
WEC,Utilities,0.011076719911725933,0.46631728023330765
WFC,Financials,-0.581142776167201,0.6528259159613589
WELL,Real Estate,-0.29139853428920787,0.8108610569173159
WST,Health Care,0.6270189866661191,0.41602076623393675
WDC,Information Technology,-0.47322396795731264,0.7261174092756196
WU,Information Technology,-0.1869873275789824,0.46113665404175697
WRK,Materials,0.10311365424738518,0.7130676158458888
WY,Real Estate,-0.050960790032976364,0.7511785485454189
WHR,Consumer Discretionary,0.3646451989701843,0.6589610036888733
WMB,Energy,0.0026244511777896366,0.6922534269781884
